[1, 1, 1, 1, 1, 1] (False, [])
[1, 1, 1, 4, 4, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 4, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 4, 10] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 5, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 5, 6] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 5, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 5, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '8*8=64', '64-4=60'])
[1, 1, 1, 4, 5, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 5, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 6, 6] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 6, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 6, 8] (True, ['1+1=2', '2+1=3', '4*3=12', '8*6=48', '48+12=60'])
[1, 1, 1, 4, 6, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 6, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 7, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 4, 7, 8] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 4, 7, 9] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 4, 7, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 8, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 8, 9] (True, ['1+1=2', '2+1=3', '4*3=12', '9*8=72', '72-12=60'])
[1, 1, 1, 4, 8, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 9, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 4, 9, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 4, 10, 10] (True, ['1+1=2', '2+1=3', '4+3=7', '10*7=70', '70-10=60'])
[1, 1, 1, 5, 5, 5] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 5, 5, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 5, 5, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 5, 8] (True, ['1+1=2', '2+1=3', '8+3=11', '11*5=55', '55+5=60'])
[1, 1, 1, 5, 5, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 5, 5, 10] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 6, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 5, 6, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 6, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 5, 6, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 6, 10] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 5, 7, 7] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 7, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 7, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 7, 10] (True, ['1+1=2', '2+1=3', '3+2=5', '10*5=50', '50+10=60'])
[1, 1, 1, 5, 8, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '8*8=64', '64-4=60'])
[1, 1, 1, 5, 8, 9] (True, ['1+1=2', '2+1=3', '4*3=12', '9*8=72', '72-12=60'])
[1, 1, 1, 5, 8, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 5, 9, 9] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 5, 9, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 5, 10, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 6, 6, 6] (True, ['1+1=2', '2+1=3', '3*3=9', '9*6=54', '54+6=60'])
[1, 1, 1, 6, 6, 7] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 6, 6, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 6, 6, 9] (True, ['1+1=2', '2+1=3', '3*3=9', '9*6=54', '54+6=60'])
[1, 1, 1, 6, 6, 10] (True, ['1+1=2', '2-1=1', '10+1=11', '11*6=66', '66-6=60'])
[1, 1, 1, 6, 7, 7] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 6, 7, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '10+5=15', '15*4=60'])
[1, 1, 1, 6, 7, 9] (True, ['1+1=2', '1*1=1', '2+1=3', '9*7=63', '63-3=60'])
[1, 1, 1, 6, 7, 10] (True, ['1+1=2', '2+1=3', '4+3=7', '10*7=70', '70-10=60'])
[1, 1, 1, 6, 8, 8] (True, ['1+1=2', '1+1=2', '2+2=4', '8*8=64', '64-4=60'])
